自定义SKU,ASIN（子Asin）,物品状况,价格,库存数量,发货方式,跟卖方式,跟卖时间,下架时间,备货周期(天)
 xid43thfzr,B08JJFKCG3,New,135.5,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1h7kwze0rf,B085D862C2,New,83.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 3236b1br1b,B07PVZ5P12,New,76.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 6dpkiedmww,B08WNRNC35,New,46.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 tj20hza3nk,B01GINWO9M,New,162.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 scy870i3j2,B005PUBZ5E,New,77.29,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fafn3p2xah,B087JRV75R,New,30.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 djma0hatyt,B07BLHBV5F,New,76,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 76pp859sb9,B00B3UZEX4,New,42.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 8sfe2t2phy,B072LV1Q9X,New,16.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 81jpmha21a,B01M4HHM3Z,New,23.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 t9ybh7znx4,B086SLBYMC,New,17.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 d01mt93ss4,B01M0GLPSB,New,33.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 jp08wd6zxa,B000PGRXR2,New,28.49,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 4sk065r9nb,B003B05HOU,New,286.96,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 4yhinxif3k,B07PFCV894,New,13.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 0adwkjef7a,B08ZMJVPQ3,New,136.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9bwf0yw5nd,B002TAUF9K,New,11.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 cb7xi7p9b8,B07YXN7DCT,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 csth9394f0,B00NFCFO0Q,New,146.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ynsb185m4p,B089QTQN3H,New,96,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 d08barcnmb,B01MCQEO1P,New,166,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mkxptaebtz,B0044V3UFS,New,61,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
